Ингредиенты
конина
соль пищевая поваренная
сахар-песок
перец черный молотый
чеснок свежий
мука ржаная цельнозерновая тонкого помола
мука пшеничная цельнозерновая тонкого помола
мука полбяная цельнозерновая
мука кукурузная цельнозерновая
фарш - говядина
свинина
лук репчатый
вода питьевая
соль
тесто - мука пшеничная в/с
яйцо куриное
молоко цельное
молоко обезжиренное
наполнитель с шоколадной крошкой (сахар
кусочки молочного шоколада (масло какао
сухое обезжиренное молоко
масло какао
безводный молочный жир
сахар
экстракт ванили)
загустители – кукурузный крахмал
гуаровая камедь
регулятор кислотности – лимонная кислота
натуральный ароматизатор «ваниль»)
закваска
мороженое - молоко цельное
масло сливочное
молоко цельное сгущенное с сахаром
глюкозный сироп
стабилизатор-эмульгатор (глюсидекс (сухой глюкозный сироп))
вафельный сахарный рожок - мука пшеничная хлебопекарная
растительное масло
пшеничные волокна
100% Арабика
сыр брынза: нормализованное молоко коровье
закваска ренин (микробиального происхождения)
соль поваренная пищевая
сыр сулугуни: коровье молоко
закваска (или бакконцентрат)
ферментный препарат
кальций хлористый
мука пшеничная в/с
масло подсолнечное растительное
нормализованное молоко
фруктовый наполнитель «Чернослив» (сахар
пюре чернослива
стабилизатор – пектин
ароматизатор натуральный
регуляторы кислотности - сок лимона концентрированный) с использованием закваски термофильного стрептококка и симбиотической закваски бифидобактерий (B.bifidum
B. longum
B. adolescentis
B. breve
B. infantis)
филе рыбы
молоко коровье цельное
зелень укропа сушеная
сычужно-говяжий молокосвертывающий ферментный препарат животного происхождения
закваска мезофильных молочнокислых микроорганизмов
вишня
персик
сок яблочный прямого отжима пастеризованный
пророщенное зерно пшеницы
пророщенное зерно ржи
пророщенное зерно овса голозерного
пророщенное зерно ячменя продовольственного
цикорий сушеный
дрожжи прессованные хлебопекарные
соль пищевая
вода очищенная питьевая
солод ржаной
цельное молоко
обезжиренное молоко
закваска на кефирных грибках
сок яблочный прямого отжима
пюре из груши
мука пшеничная хлебопекарная высшего сорта
клетчатка растительная (ржаные отруби) 12 %
мука ржаная
масло подсолнечное рафинированное дезодорированное
лук сушеный измельченный
соль пищевая йодированная
лецитин соевый
подготовленная питьевая вода
настой эстрагона
регулятор кислотности лимонная кислота
настой бадьяна
краситель сахарный колер
консервант сорбиновая кислота
ароматизатор ванилин
кальмар
салат айсберг
капуста белокочанная
морковь соломка
салат радичио
тесто (мука пшеничная хлебопекарная высшего сорта
соль пищевая)
начинка (картофель отварной
грибы шампиньоны жареные
лук репчатый жареный
полиэтилен
краситель
технологические добавки
технологические добавки.
малина свежая или быстрозамороженная
черная смородина свежая или быстрозамороженная
родниковая вода
лимон
ягоды (черника
малина
клубника
черная смородина)
кукуруза
сок абрикосовый концентрированный
пшено
семена льна
тыква сушеная
абрикос сушеный
сливки 40%
сахар белый
сахар виноградный
яичный желток
свежая мята
темный шоколад (какао тертое
какао-масло
соевый лецитин
натуральная ваниль)
крахмал тапиоки
морская соль
молоко нормализованное пастеризованное
пищевая добавка хлористый кальций
молокосвертывающий ферментный препарат микробного происхождения
закваска мезофильных и термофильных молочнокислых культур
обезжиренное козье молоко
фруктово-ягодный наполнитель облепиха-шиповник (ягоды облепихи
шиповника
яблочный пектин
натуральный ароматизатор
лимонная кислота)
пребиотические пищевые волокна «Litesse»
с использованием термофильных молочнокислых стрептококков
термофильных и мезофильных молочнокислых палочек (болгарской
ацидофильной
L.casei) и биомассы бифидобактерий
молоко цельное с использованием заквасочных микроорганизмов
цельное козье молоко
стабилизатор (пектин) с использованием термофильных молочнокислых стрептококков
болгарской молочнокислой палочки и биомассы бифидобактерий
палтус синекорый
вода (глазурь) не более 5%
молоко коровье обезжиренное
фруктово-ягодный наполнитель «Вишня» (сахар
вишня свежемороженая
вода очищенная
загуститель – пектин
регулятор кислотности – лимонная кислота)
смесь Арабики и Робусты (содержание Арабики не менее 95%)
икра трески
сорбиновая кислота
пюре из капусты брокколи
фарш трески
сухари панировочные (мука пшеничная хлебопекарная
дрожжи хлебопекарные
соль)
масло подсолнечное
крупа манная
крахмал картофельный
ягода малина замороженная
мороженое сливочное (молоко цельное пастеризованное
масло сладко-сливочное несоленое м. д. ж. 72
5%
молоко сухое цельное
молоко цельное сгущенное с сахаром (молоко нормализованное
сахароза)
стабилизатор - глюсидекс (сухой глюкозный сироп)
шоколад молочный: сахар
сухое цельное молоко
тертое какао
молочный жир
эмульгатор - лецитин
натуральная ваниль.
лаваш пшеничный (мука пшеничная хлебопекарная в/с
соль поваренная пищевая)
салат свежий
сыр рикотта (молоко коровье
сычужный фермент микробиального происхождения
цукини печеные
кабачки печеные
баклажаны печеные
томаты свежие
масло оливковое
